序号,CIDR归属厂商,CIDR归属地,CIDR,IP数量,IP列表
21,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,31.57.105.0/24,11,31.57.105.53;31.57.105.51;31.57.105.157;31.57.105.140;31.57.105.128;31.57.105.139;31.57.105.14;31.57.105.33;31.57.105.39;31.57.105.27;31.57.105.164
22,NetCrafters OU,瑞典 Stockholm County 斯德哥尔摩,83.147.254.0/24,11,83.147.254.59;83.147.254.70;83.147.254.14;83.147.254.63;83.147.254.245;83.147.254.8;83.147.254.115;83.147.254.71;83.147.254.102;83.147.254.132;83.147.254.36
23,CNServer LLC,美国 加州 洛杉矶,166.88.33.0/24,11,166.88.33.25;166.88.33.34;166.88.33.157;166.88.33.137;166.88.33.64;166.88.33.161;166.88.33.113;166.88.33.190;166.88.33.86;166.88.33.135;166.88.33.149
24,IT Hostline Ltd,美国 华盛顿州 Springdale,179.255.185.0/24,11,179.255.185.130;179.255.185.132;179.255.185.120;179.255.185.123;179.255.185.129;179.255.185.118;179.255.185.126;179.255.185.127;179.255.185.125;179.255.185.121;179.255.185.119
25,Applied Systems Inc,英国 英格兰 哈文特,217.163.76.0/24,11,217.163.76.60;217.163.76.180;217.163.76.116;217.163.76.138;217.163.76.65;217.163.76.147;217.163.76.63;217.163.76.99;217.163.76.114;217.163.76.58;217.163.76.203
26,OVH Ltd,英国 英格兰 Erith,57.128.183.0/24,10,57.128.183.59;57.128.183.90;57.128.183.133;57.128.183.3;57.128.183.214;57.128.183.82;57.128.183.108;57.128.183.138;57.128.183.248;57.128.183.35
27,Datacamp Limited,德国 黑森州 法兰克福,143.20.160.0/24,10,143.20.160.48;143.20.160.192;143.20.160.17;143.20.160.194;143.20.160.37;143.20.160.195;143.20.160.38;143.20.160.168;143.20.160.143;143.20.160.43
28,objx.net,荷兰 北荷兰省 阿姆斯特丹,186.190.213.0/24,10,186.190.213.211;186.190.213.123;186.190.213.72;186.190.213.5;186.190.213.143;186.190.213.37;186.190.213.6;186.190.213.139;186.190.213.82;186.190.213.227
29,NetCrafters OU,芬兰 新地区 赫尔辛基,83.147.192.0/24,9,83.147.192.158;83.147.192.112;83.147.192.198;83.147.192.82;83.147.192.46;83.147.192.64;83.147.192.190;83.147.192.166;83.147.192.5
30,EE Limited,英国 英格兰 Martlesham,91.110.209.0/24,9,91.110.209.65;91.110.209.90;91.110.209.80;91.110.209.98;91.110.209.74;91.110.209.68;91.110.209.45;91.110.209.81;91.110.209.66
31,ZENLA,新加坡 North West 新加坡,128.1.186.0/24,9,128.1.186.63;128.1.186.114;128.1.186.117;128.1.186.180;128.1.186.61;128.1.186.118;128.1.186.55;128.1.186.56;128.1.186.183
32,CNServer LLC,美国 加州 洛杉矶,136.0.39.0/24,9,136.0.39.65;136.0.39.54;136.0.39.41;136.0.39.60;136.0.39.40;136.0.39.35;136.0.39.11;136.0.39.104;136.0.39.100
33,IT Hostline Ltd,瑞士 苏黎世州 Dickbuch,179.255.191.0/24,9,179.255.191.88;179.255.191.85;179.255.191.90;179.255.191.82;179.255.191.87;179.255.191.86;179.255.191.84;179.255.191.81;179.255.191.89
34,YOURSERVER,瑞典 Stockholm County 斯德哥尔摩,185.82.126.0/24,9,185.82.126.247;185.82.126.206;185.82.126.216;185.82.126.185;185.82.126.217;185.82.126.9;185.82.126.37;185.82.126.184;185.82.126.64
35,Green Floid LLC,荷兰 北荷兰省 阿姆斯特丹,195.123.221.0/24,9,195.123.221.128;195.123.221.117;195.123.221.119;195.123.221.118;195.123.221.129;195.123.221.122;195.123.221.121;195.123.221.127;195.123.221.120
36,FDCservers.net,美国 加州 洛杉矶,205.186.76.0/24,9,205.186.76.227;205.186.76.187;205.186.76.237;205.186.76.198;205.186.76.209;205.186.76.242;205.186.76.251;205.186.76.141;205.186.76.197
37,CGI GLOBAL LIMITED,法国 法兰西岛 巴黎,217.60.63.0/24,9,217.60.63.44;217.60.63.5;217.60.63.232;217.60.63.206;217.60.63.233;217.60.63.230;217.60.63.211;217.60.63.207;217.60.63.160
38,NyaNet,瑞典 Stockholm County 斯德哥尔摩,5.175.236.0/24,8,5.175.236.14;5.175.236.4;5.175.236.54;5.175.236.6;5.175.236.36;5.175.236.53;5.175.236.58;5.175.236.48
39,NetCrafters OU,芬兰 新地区 赫尔辛基,83.147.216.0/24,8,83.147.216.34;83.147.216.239;83.147.216.129;83.147.216.83;83.147.216.31;83.147.216.178;83.147.216.170;83.147.216.8
40,First Server NET VL,芬兰 新地区 赫尔辛基,91.186.223.0/24,8,91.186.223.144;91.186.223.49;91.186.223.218;91.186.223.193;91.186.223.139;91.186.223.252;91.186.223.161;91.186.223.28
41,"Cloudflare, Inc.",美国 弗吉尼亚州 阿什本,108.162.198.0/24,8,108.162.198.209;108.162.198.107;108.162.198.128;108.162.198.224;108.162.198.46;108.162.198.218;108.162.198.159;108.162.198.149
42,LLP Internet Company First Page,哈萨克斯坦 巴甫洛達爾州 巴甫洛達爾,109.248.18.0/24,8,109.248.18.121;109.248.18.169;109.248.18.226;109.248.18.21;109.248.18.77;109.248.18.145;109.248.18.35;109.248.18.161
43,Linode,德国 黑森州 法兰克福,139.144.181.0/24,8,139.144.181.39;139.144.181.138;139.144.181.54;139.144.181.99;139.144.181.26;139.144.181.33;139.144.181.40;139.144.181.133
44,CNServer LLC,美国 加州 洛杉矶,144.225.130.0/24,8,144.225.130.144;144.225.130.178;144.225.130.77;144.225.130.185;144.225.130.48;144.225.130.208;144.225.130.58;144.225.130.125
45,IS Flokinetehf,芬兰 新地区 赫尔辛基,185.246.191.0/24,8,185.246.191.40;185.246.191.154;185.246.191.194;185.246.191.196;185.246.191.168;185.246.191.235;185.246.191.25;185.246.191.222
46,Fornex Hosting S.L.,瑞士 楚格州 Hünenberg,194.154.29.0/24,8,194.154.29.139;194.154.29.245;194.154.29.151;194.154.29.164;194.154.29.72;194.154.29.114;194.154.29.81;194.154.29.200
47,"Linode, LLC",德国 黑森州 法兰克福,194.233.167.0/24,8,194.233.167.252;194.233.167.235;194.233.167.201;194.233.167.228;194.233.167.237;194.233.167.227;194.233.167.212;194.233.167.241
48,CHSL Helsinki,芬兰 新地区 赫尔辛基,2.27.51.0/24,7,2.27.51.250;2.27.51.244;2.27.51.214;2.27.51.28;2.27.51.59;2.27.51.210;2.27.51.233
49,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,5.178.96.0/24,7,5.178.96.130;5.178.96.57;5.178.96.37;5.178.96.136;5.178.96.122;5.178.96.74;5.178.96.241
50,CHSL Helsinki,芬兰 新地区 赫尔辛基,31.77.194.0/24,7,31.77.194.51;31.77.194.31;31.77.194.136;31.77.194.207;31.77.194.224;31.77.194.197;31.77.194.208
51,Brainoza OU,爱沙尼亚 哈爾尤縣 塔林,45.12.28.0/24,7,45.12.28.129;45.12.28.134;45.12.28.96;45.12.28.202;45.12.28.95;45.12.28.170;45.12.28.108
52,objx.net,荷兰 北荷兰省 阿姆斯特丹,67.220.80.0/24,7,67.220.80.6;67.220.80.230;67.220.80.246;67.220.80.253;67.220.80.247;67.220.80.252;67.220.80.99
53,nuxt.cloud hosting provider,德国 黑森州 法兰克福,77.239.98.0/24,7,77.239.98.154;77.239.98.192;77.239.98.191;77.239.98.161;77.239.98.144;77.239.98.108;77.239.98.122
54,NetCrafters OU,芬兰 新地区 赫尔辛基,84.22.150.0/24,7,84.22.150.156;84.22.150.176;84.22.150.179;84.22.150.47;84.22.150.185;84.22.150.56;84.22.150.39
55,1Cent Host,荷兰 北荷兰省 阿姆斯特丹,95.85.228.0/24,7,95.85.228.96;95.85.228.94;95.85.228.162;95.85.228.97;95.85.228.240;95.85.228.95;95.85.228.11
56,u1host ltd,德国 黑森州 法兰克福,144.31.64.0/24,7,144.31.64.187;144.31.64.113;144.31.64.59;144.31.64.141;144.31.64.115;144.31.64.67;144.31.64.117
57,u1host Amsterdam,荷兰 北荷兰省 阿姆斯特丹,144.31.78.0/24,7,144.31.78.127;144.31.78.54;144.31.78.153;144.31.78.217;144.31.78.28;144.31.78.216;144.31.78.219
58,nuxt.cloud hosting provider,德国 黑森州 法兰克福,147.45.196.0/24,7,147.45.196.234;147.45.196.235;147.45.196.101;147.45.196.128;147.45.196.83;147.45.196.186;147.45.196.240
59,Sanyi BBH,美国 加州 洛杉矶,154.41.80.0/24,7,154.41.80.73;154.41.80.153;154.41.80.115;154.41.80.59;154.41.80.141;154.41.80.155;154.41.80.90
60,JSC IOT,俄罗斯 Moscow 莫斯科,157.22.185.0/24,7,157.22.185.54;157.22.185.45;157.22.185.60;157.22.185.68;157.22.185.110;157.22.185.58;157.22.185.57
61,"Cloudflare, Inc.",加拿大 安大略 多伦多,172.64.40.0/24,7,172.64.40.10;172.64.40.53;172.64.40.45;172.64.40.199;172.64.40.198;172.64.40.8;172.64.40.14
62,RouterHosting LLC,德国 黑森州 法兰克福,172.86.95.0/24,7,172.86.95.135;172.86.95.71;172.86.95.170;172.86.95.236;172.86.95.200;172.86.95.141;172.86.95.251
63,"FIRST SERVER, SOCIEDAD LIMITADA",芬兰 新地区 赫尔辛基,178.253.31.0/24,7,178.253.31.60;178.253.31.210;178.253.31.163;178.253.31.14;178.253.31.99;178.253.31.232;178.253.31.69
64,Reliable Communications s.r.o,英国 英格兰 伦敦,193.124.226.0/24,7,193.124.226.62;193.124.226.108;193.124.226.61;193.124.226.50;193.124.226.5;193.124.226.2;193.124.226.14
65,MoeQing,美国 加州 洛杉矶,208.68.180.0/24,7,208.68.180.63;208.68.180.136;208.68.180.65;208.68.180.147;208.68.180.204;208.68.180.72;208.68.180.244
66,u1host ltd,德国 黑森州 法兰克福,213.21.241.0/24,7,213.21.241.49;213.21.241.85;213.21.241.12;213.21.241.195;213.21.241.179;213.21.241.211;213.21.241.108
67,nuxt.cloud hosting provider,德国 黑森州 法兰克福,2.26.249.0/24,6,2.26.249.201;2.26.249.239;2.26.249.165;2.26.249.164;2.26.249.185;2.26.249.57
68,nuxt.cloud hosting provider,德国 黑森州 法兰克福,2.26.251.0/24,6,2.26.251.97;2.26.251.101;2.26.251.231;2.26.251.174;2.26.251.55;2.26.251.104
69,Senko Digital LLC,德国 黑森州 法兰克福,2.27.28.0/24,6,2.27.28.169;2.27.28.57;2.27.28.82;2.27.28.10;2.27.28.173;2.27.28.87
70,Aeza Group LLC,荷兰 北荷兰省 阿姆斯特丹,5.182.86.0/24,6,5.182.86.238;5.182.86.177;5.182.86.10;5.182.86.246;5.182.86.111;5.182.86.61
71,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,31.56.113.0/24,6,31.56.113.127;31.56.113.202;31.56.113.117;31.56.113.67;31.56.113.17;31.56.113.208
72,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,31.56.205.0/24,6,31.56.205.124;31.56.205.254;31.56.205.40;31.56.205.135;31.56.205.233;31.56.205.87
73,CGI GLOBAL LIMITED,法国 法兰西岛 巴黎,31.56.228.0/24,6,31.56.228.210;31.56.228.151;31.56.228.216;31.56.228.77;31.56.228.7;31.56.228.250
74,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,31.57.26.0/24,6,31.57.26.194;31.57.26.184;31.57.26.223;31.57.26.227;31.57.26.96;31.57.26.159
75,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,31.57.106.0/24,6,31.57.106.126;31.57.106.252;31.57.106.178;31.57.106.35;31.57.106.46;31.57.106.189
76,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,31.59.41.0/24,6,31.59.41.76;31.59.41.214;31.59.41.140;31.59.41.182;31.59.41.193;31.59.41.159
77,CGI GLOBAL LIMITED,法国 法兰西岛 巴黎,31.59.103.0/24,6,31.59.103.13;31.59.103.152;31.59.103.159;31.59.103.62;31.59.103.95;31.59.103.137
78,nuxt.cloud hosting provider,芬兰 新地区 赫尔辛基,31.76.226.0/24,6,31.76.226.247;31.76.226.43;31.76.226.93;31.76.226.246;31.76.226.238;31.76.226.229
79,NetLab,美国 加州 洛杉矶,38.244.2.0/24,6,38.244.2.14;38.244.2.64;38.244.2.166;38.244.2.214;38.244.2.241;38.244.2.165
80,NetCrafters OU,瑞典 Stockholm County 斯德哥尔摩,45.80.229.0/24,6,45.80.229.169;45.80.229.176;45.80.229.205;45.80.229.147;45.80.229.48;45.80.229.180
81,First Server Limited,捷克 Prague 布拉格,46.8.218.0/24,6,46.8.218.80;46.8.218.98;46.8.218.8;46.8.218.89;46.8.218.77;46.8.218.247
82,RTM GmbH,德国 黑森州 法兰克福,62.60.217.0/24,6,62.60.217.42;62.60.217.170;62.60.217.209;62.60.217.109;62.60.217.43;62.60.217.230
83,RTM GmbH,瑞典 Stockholm County 斯德哥尔摩,62.60.251.0/24,6,62.60.251.113;62.60.251.65;62.60.251.46;62.60.251.86;62.60.251.214;62.60.251.57
84,Bigcommerce Inc,美国 得克萨斯州 奧斯汀,63.141.128.0/24,6,63.141.128.78;63.141.128.140;63.141.128.25;63.141.128.3;63.141.128.137;63.141.128.130
85,u1host Amsterdam,德国 黑森州 法兰克福,64.188.96.0/24,6,64.188.96.27;64.188.96.31;64.188.96.234;64.188.96.54;64.188.96.130;64.188.96.97
86,u1host Amsterdam,荷兰 北荷兰省 阿姆斯特丹,64.188.97.0/24,6,64.188.97.233;64.188.97.153;64.188.97.15;64.188.97.240;64.188.97.205;64.188.97.148
87,Digital Ocean,荷兰 北荷兰省 阿姆斯特丹,82.196.5.0/24,6,82.196.5.20;82.196.5.245;82.196.5.73;82.196.5.39;82.196.5.130;82.196.5.133
88,1Cent Host,爱沙尼亚 哈爾尤縣 塔林,87.121.86.0/24,6,87.121.86.140;87.121.86.93;87.121.86.166;87.121.86.26;87.121.86.42;87.121.86.19
